"#Sales/#Orders","#מכירות/#הזמנות"
"Your request has been sent to admin for approval.","בקשתך נשלחה למנהל החנות בהצלחה."
"Zip/Postal Code","מיקוד"
"dateinput","dateinput"
"(days). If empty or zero, affiliates' commission will not be hold back.","(days). אם ריק או על אפס, עמלת שותף לא תעצר."
"days. 0 or empty is unlimited.","days. 0 או ריק משמע ללא הגבלה."
"discount","הנחה"
"discount on each order","הנחה בכל הזמנה"
"discount on each purchased item","הנחה בכל רכישת פריטים"
"for next orders","להזמנות הבאות"
"for the first order of a customer","להזמנה הראשונה של הלקוח"
"get contacts from gmail","ייבא אנשי קשר מ Gmail"
"get contacts from yahoo","ייבא אנשי קשר מ Yahoo"
"on each purchased item","על כל רכישת פריט"
"per page","לכל עמוד"
"Payment not found!","תשלום לא נמצא"
"You are having a waiting request!","יש לך בקשה ממתינה."
"Please enter a valid custom url","אנא הזמן כתובת URL תקינה"
"This url already exists. Please choose another custom url.","כתובת ה URL קיימת במערכת, אנא נסה כתובת URL אחרת."
"Your custom url has been saved successfully!","כתובת ה URL נשמרה בהצלחה."
"No email address is available!","אין כתובת מייל פנויה."
"Feedbacks Manager","ניהול פידבק"
"Post Feedback","פרסם פידבק"
"Save","שמור"
"Resend","שלח שוב"
"Edit Feedback for ","ערוך פידבק ל "
"Feedback Code","קוד פידבק"
"Extension","תוסף"
"Coupon","קופון"
"Posted","פורסם"
"Is Sent","נשלח"
"Feedback Detail","פרטי פידבק"
"Post Message","פרסם הודעה"
"View Posted Message","הצג הודעות שפורסמו"
"Feedback detail","פרטי פידבק"
"Sent to Magestore.com","נשלח ל Magestore.com"
"Not sent to Magestore.com","לא נשלח ל Magestore.com"
"for discount","להנחה"
"to","ל"
"Feedback","פידבק" 
"Attached Files","קבצים מצורפים"
"From Admin","ממנהל החנות"
"From","מאת"
"on","ב"
"Message","הודעה"
"version","גרסה"
"Sent","נשלח"
"Not Sent","לא נשלח"
"1 Domains","דומיין 1"
"2 Domains","2 דומיינים"
"5 Domains","5 דומיינים"
"10 Domains","10 דומיינים"
"Unlimited Domain","ללא הגבלת דומיינים"
"Developer","מתכנת"
"Enable","פעיל"
"Disable","לא פעיל"
"License Info","פרטי רישיון"
"Extension Feedbacks","פידבק לתוסף"
"This feedback is already sent to Magestore.com","הפידבק שלך נשלח ל Magestore.com"
"This feedback had been sent to Magestore.com","הפידבק שלך לא נשלח ל Magestore.com"
"This message is already sent","ההודעה נשלחה כבר"
"This message had been sent","ההודעה נשלחה"
"Item was successfully saved","הפריט עודכן בהצלחה"
"Unable to find item to save","לא נמצא פריט לשמירה"
"Item was successfully deleted","פריט נמחק בהצלחה"
"for upgrade to","לשדרוג ל"
"Upgrade Now","שדרג כעט"
"Delete File","מחק קובץ"
"Transaction Detail","פרטי עסקה"
"Transaction Detail:","פרטי עסקה:"
"Order Number","פרטי הזמנה"
"Add More","הוסף עוד"
"Sent to","נשלח ל"
"Purchase now","קנה עכשיו"
"Upgrade License to","שדרג רישיון ל"
"View Price","הצג מחיר"
"Select contact to send email","Select contacts email" 
"You can use this suggested message or, better yet, write your own on the popup","באפשרותך להשתמש בהודעה המוכנה או לכתוב חדשה"
"There are no data matching this selection.","אין מידע התואמים את הבחירה."
"There are no commission matching this selection.","אין עמלות שתואמות את הבחירה."
"There are no withdrawals matching this selection.","אין העברות המתאימות לבחירה."
"Affiliate Type","סוג שותף"
"Affiliate commission type","סוג עמלת שותף"
"Affiliate commission","עמלת שותף"
"Affiliate discount type","סוג הנחת שותף"
"Affiliate discount","הנחת שותף"
"Expired Time (days)","תאריך תפוגה (ימים)"
"Discount type","סוג הנחה"
"Additional Sales Commission","עמלת מכירות נוספת"
"Sales calculation type","סוג חישוב מכירות"
"Additional commission type","סוג עמלה נוספת"
"Enable monthly commission added","הפעל עמלה חודשית"
"Enable yearly commission added","הפעל עמלה שנתית"
"Visible in Frontend","מוצג בפרונט של החנות"
"Refer Friend Configuration","הגדרות הפניית חברים"
"Personal Url Prefix","כתובת URL אישית קבועה"
"Refer Friend Description","תיאור הפניית חברים"
"Sharing Description","תיאור שיתופ"
"Default Content of Invitation Email","תוכן ברירת מחדל לאימייל הזמנה"
"Yahoo Application ID","Yahoo Application ID"
"Yahoo Consumer Key","Yahoo Consumer Key"
"Yahoo Consumer Secret","Yahoo Consumer Secret"
"Google Consumer Key","Google Consumer Key"
"Google Consumer Secret","Google Consumer Secret"
"Window Live Client ID","Window Live Client ID"
"Window Live Client Secret","Window Live Client Secret"
"Default Shared Message","Default Shared Message"
"Facebook Application ID","Facebook Application ID"
"Facebook Application Secret","Facebook Application Secret"
"Payment Configuration","הגדרות תשלום"
"Add commission to account balance when order state is","הוסף עמלה ליתרת חשבון כאשר ההזמנה היא"
"Subtract commission from affiliate account balance when credit memo is created","הפחת עמלה מיתרת חשבון שותף כאשר נוצר זיכוי"
"Payment release","שחרור תשלום"
"Paypal payment method","שיטת תשלום Paypal"
"Who pay fees","מי משלם עמלות"
"Scope Configuration","Scope Configuration"
"Account Balance Scope","Account Balance Scope"
"Material Configuration","הגדרות תוכן פרסומי"
"Show Material Page","Show Promotional Material Page"
"Material CMS page","Promotional Material CMS page" 
"Email Configuration","הגדרות אימייל"
"Send email to new affiliate account","שלח מייל לשותף חדש" 
"Send email to affiliate account when transaction is created","שלח מייל לשותף שעסקה חדשה מתבצעת"
"Send email to sales when transaction is created","שלח מייל למכירות שעסקה חדשה מתבצעת"
"Send email to affiliate account when transaction is updated (cancel or completed)","שלח מייל לשותף שסטטוס עסקה מתעדכן (בוטלה או הושלמה)"
"Send email to sales when affiliate account requests payment","שלח מייל למכירות ששותף מבקש לקבל תשלום"
"Email template sent to new affiliate account","תבנית מייל נשלחה לשותף חדש"
"Email template sent to affiliate account approved","תבנית מייל נשלחה לחשבון שותף שאושר"
"Email template sent to affiliate account when transaction is created","תבנית מייל נשלחה לחשבון שותף כאשר עסקה בוצעה"
"Email template sent to affiliate account when transaction is updated (cancel or completed)","תבנית מייל נשלחה לחשבון שותף בעדכון עסקה (בוטלה או הסתיימה)"
"Email template sent to sales when affiliate account requests payment","תבנית מייל נשלחה למכירות שחשבון שותף מבקש תשלום"
"Email template sent to account when payment is proceeded","תבנית מייל נשלחה לחשבון כשהתשלום בתהליך"
"Send report email to affiliate account","שלח דוחות לחשבון שותף"
"Frequency of sending report email","תדירות שליחת דוחות במייל"
"Report email template","תבנית מייל דוחות"
"Refer Friend Email Template","תבנית מייל הפניית חברים"
"Affiliate Discount","הנחת שותף"
"Date Created","תאריך יצירה"
"Order Status","סטטוס הזמנה"
"Order Subtotal","סכום ביניים"
"There is no affiliate with email address %s. Please enter a different one.", "אין שותף עם כתובת המייל %s. אנא הזן כתובת מייל אחרת."
"There is no affiliate account with this email address. Please enter a different one.","אין חשבון שותף עם כתובת המייל הזו, אנא הזן כתובת מייל אחרת."
"Documents and Help","עזרה"
"Affiliate Plus Installation","התקנת תוכנית שותפים"
"Affiliate Plus Installation Guide","מדריך התקנת תוכנית שותפים"
"Affiliate Plus Plugin Installation Guide","מדריך התקנת תוסף תוכנית שותפים"
"Affiliate Plus User Guide","מדריך למשתמש של תוכנית השותפים"
"Affiliate Plus Standard User Guide","מדריך למשתמש סטנדרטי לתוכנית שותפים"
"Affiliate Plus Payment User Guide","מדריך תשלומים"
"Advanced Banner Configuration","הגדרות באנרים מתקדמים"
"Enable Advanced Banner Plugin","הפעל תוסף באנרים מתקדמים"
"Affiliate Plus Advanced Banner User Guide","מדריך למשתמש עבור באנרים מתקדמים"
"Affiliate Plus Commission by Level User Guide","מדריך למשתמש עמלות לפי רמות יוזרים"
"Commission by Level Configuration","הגדרות עמלה לפי רמות"
"Affiliate Plus Coupon Code User Guide","מדריך למשתמש - קופונים"
"Terms and Conditions","תנאי שימוש"
"The higher the atomic number, the higher the priority.","ככל שהמספר גדול יותר, כך העדיפות שלו גבוה יותר."
"Leave blank for not showing Terms and Conditions","השאר ריק כדי לא להציג תנאי שימוש"
"If you have not had an affiliate account yet, please choose Signup to create a new account quickly.","אם אין לך חשבון שותף, אנא צור חשבון (הרשמה מהירה)"
"Auto create Affiliate account when Customer registers","צור חשבון שותף אוטומטית בהרשמת שותפים"
"Used to send emails from system to affiliates. If blank, affiliate system will use general store email address.","לשליחת מיילים מהמערכת לשותפים, במידה וריק, מערכת השותפים תשתמש בכתובת מייל של החנות"
"Afffiliate URL Parameter","מבנה כתובת ה URL של השותף"
"Leave blank for default value (acc)","השאר ריק לערך ברירת מחדל (acc)"
"Value Type of Afffiliate URL Parameter","Value Type of Afffiliate URL Parameter"
"Unhold Transactions","אל תעצור העברות"
"Style Configuration","הגדרות עיצוב"
"Responsive Theme","תבנית רספונסיבית"
"Enable Responsive Theme","הפעל תבנית רספונסיבית"
"General Style","עיצוב כללי"
"Background Color for affiliate's pages","צבע רקע של עמוד שותף"
"Background Color for titles","צבע רקע של כותרות"
"Text Color for titles","צבע כותרות"
"Background Color for sub-titles","צבע רקע של תת כותרות"
"Text Color for sub-titles","צבע רקע של תת כותרות"
"Background Color for Social Share buttons","צבע רקע של כפתורי שיתוף מדיה חברתית"
"Text Color for Social Share buttons","צבע טקסט של כפתורי שיתוף מדיה חברתית"
"Left Navigation Style","עיצוב תפריט צדדי"
"Background Color for inactive tabs","צבע רקע של לשוניות לא בשימוש"
"Background Color for active tabs","צבע רקע של לשונית בשימוש"
"Text Color for active tabs","צבע טקסט של לשונית בשימוש"
"Font size for tab names","גודל פונט של טקסטים בלשונית"
"Popup Style","עיצוב פופ אפ"
"Background Color for body","צבע רקע של התוכן"
"Background Color for title","צבע רקע של הכותרות"
"Text Color for title","צבע טקסט של הכותרות"
"Button Style (on the Affiliate Home page)","עיצוב כפתורים (בעמוד ראשי)"
"Background Color for Login button","צבע רגע של כפתור כניסה"
"Background Color for Signup button","צבע רקע של כפתור הרשמה"
"Background Color for Contact button","צבע רקע של כפתור צור קשר"
"You have successfully signed up for an affiliate account.","הרשמתך לתוכנית שותפים הצליחה."
"The email %s belongs to a customer. If it is your email address, you can use it to ","כתובת המייל %s תפוסה, אם זו כתובת המייל שלך תוכל להשתמש בה לכניסה לאתר, אחרת השתמש בכתובת אחרת לרישום."
"Referring Website","כתובת אתר שהפנה אותך"
"Referred By","הופניתי על ידי"
